airport,date,day,month,year,temp_max,temp_min
ABE,8-10-2015,10,8,2015,78,67,
ABE,8-11-2015,11,8,2015,81,63,
ABE,8-12-2015,12,8,2015,81,58,
ABE,8-13-2015,13,8,2015,80,59,
ABE,8-14-2015,14,8,2015,86,63,
ABE,8-15-2015,15,8,2015,87,64,
ABE,8-16-2015,16,8,2015,88,64,
ABE,8-17-2015,17,8,2015,89,66,
ABE,8-18-2015,18,8,2015,89,64,
ABE,8-19-2015,19,8,2015,87,63,
ABI,8-10-2015,10,8,2015,101,76,
ABI,8-11-2015,11,8,2015,101,74,
ABI,8-12-2015,12,8,2015,96,73,
ABI,8-13-2015,13,8,2015,98,75,
ABI,8-14-2015,14,8,2015,97,75,
ABI,8-15-2015,15,8,2015,96,74,
ABI,8-16-2015,16,8,2015,98,74,
ABI,8-17-2015,17,8,2015,97,74,
ABI,8-18-2015,18,8,2015,96,74,
ABI,8-19-2015,19,8,2015,96,73,
ABQ,8-10-2015,10,8,2015,88,65,
ABQ,8-11-2015,11,8,2015,91,64,
ABQ,8-12-2015,12,8,2015,91,66,
ABQ,8-13-2015,13,8,2015,93,67,
ABQ,8-14-2015,14,8,2015,95,67,
ABQ,8-15-2015,15,8,2015,94,67,
ABQ,8-16-2015,16,8,2015,91,66,
ABQ,8-17-2015,17,8,2015,89,65,
ABQ,8-18-2015,18,8,2015,89,64,
ABQ,8-19-2015,19,8,2015,88,63,
ABR,8-10-2015,10,8,2015,81,58,
ABR,8-11-2015,11,8,2015,88,62,
ABR,8-12-2015,12,8,2015,93,67,
ABR,8-13-2015,13,8,2015,95,66,
ABR,8-14-2015,14,8,2015,94,69,
ABR,8-15-2015,15,8,2015,95,63,
ABR,8-16-2015,16,8,2015,84,57,
ABR,8-17-2015,17,8,2015,84,59,
ABR,8-18-2015,18,8,2015,87,63,
ABR,8-19-2015,19,8,2015,85,58,
ABY,8-10-2015,10,8,2015,93,73,
ABY,8-11-2015,11,8,2015,93,74,
ABY,8-12-2015,12,8,2015,94,71,
ABY,8-13-2015,13,8,2015,93,71,
ABY,8-14-2015,14,8,2015,91,70,
ABY,8-15-2015,15,8,2015,91,70,
ABY,8-16-2015,16,8,2015,92,71,
ABY,8-17-2015,17,8,2015,92,72,
ABY,8-18-2015,18,8,2015,94,73,
ABY,8-19-2015,19,8,2015,94,72,
ACT,8-10-2015,10,8,2015,102,78,
ACT,8-11-2015,11,8,2015,103,79,
ACT,8-12-2015,12,8,2015,101,76,
ACT,8-13-2015,13,8,2015,101,75,
ACT,8-14-2015,14,8,2015,101,74,
ACT,8-15-2015,15,8,2015,101,74,
ACT,8-16-2015,16,8,2015,101,75,
ACT,8-17-2015,17,8,2015,100,75,
ACT,8-18-2015,18,8,2015,99,76,
ACT,8-19-2015,19,8,2015,99,76,
ACV,8-10-2015,10,8,2015,67,54,
ACV,8-11-2015,11,8,2015,67,53,
ACV,8-12-2015,12,8,2015,66,52,
ACV,8-13-2015,13,8,2015,65,52,
ACV,8-14-2015,14,8,2015,68,51,
ACV,8-15-2015,15,8,2015,71,52,
ACV,8-16-2015,16,8,2015,72,53,
ACV,8-17-2015,17,8,2015,70,54,
ACV,8-18-2015,18,8,2015,71,53,
ACV,8-19-2015,19,8,2015,67,52,
ACY,8-10-2015,10,8,2015,80,71,
ACY,8-11-2015,11,8,2015,81,69,
ACY,8-12-2015,12,8,2015,86,65,
ACY,8-13-2015,13,8,2015,83,66,
ACY,8-14-2015,14,8,2015,83,68,
ACY,8-15-2015,15,8,2015,85,69,
ACY,8-16-2015,16,8,2015,86,69,
ACY,8-17-2015,17,8,2015,86,71,
ACY,8-18-2015,18,8,2015,88,71,
ACY,8-19-2015,19,8,2015,85,71,
ADQ,8-10-2015,10,8,2015,65,50,
ADQ,8-11-2015,11,8,2015,61,49,
ADQ,8-12-2015,12,8,2015,69,54,
ADQ,8-13-2015,13,8,2015,61,54,
ADQ,8-14-2015,14,8,2015,60,50,
ADQ,8-15-2015,15,8,2015,63,52,
ADQ,8-16-2015,16,8,2015,67,55,
ADQ,8-17-2015,17,8,2015,63,55,
ADQ,8-18-2015,18,8,2015,62,53,
ADQ,8-19-2015,19,8,2015,66,52,
AEX,8-10-2015,10,8,2015,102,78,
AEX,8-11-2015,11,8,2015,103,76,
AEX,8-12-2015,12,8,2015,98,71,
AEX,8-13-2015,13,8,2015,97,68,
AEX,8-14-2015,14,8,2015,99,70,
AEX,8-15-2015,15,8,2015,98,72,
AEX,8-16-2015,16,8,2015,96,71,
AEX,8-17-2015,17,8,2015,95,71,
AEX,8-18-2015,18,8,2015,96,73,
AEX,8-19-2015,19,8,2015,96,73,
AFW,8-10-2015,10,8,2015,103,82,
AFW,8-11-2015,11,8,2015,103,78,
AFW,8-12-2015,12,8,2015,97,76,
AFW,8-13-2015,13,8,2015,99,76,
AFW,8-14-2015,14,8,2015,99,74,
AFW,8-15-2015,15,8,2015,100,74,
AFW,8-16-2015,16,8,2015,102,76,
AFW,8-17-2015,17,8,2015,101,76,
AFW,8-18-2015,18,8,2015,100,77,
AFW,8-19-2015,19,8,2015,99,77,
AGS,8-10-2015,10,8,2015,90,71,
AGS,8-11-2015,11,8,2015,88,70,
AGS,8-12-2015,12,8,2015,92,69,
AGS,8-13-2015,13,8,2015,90,69,
AGS,8-14-2015,14,8,2015,90,67,
AGS,8-15-2015,15,8,2015,91,68,
AGS,8-16-2015,16,8,2015,93,70,
AGS,8-17-2015,17,8,2015,94,70,
AGS,8-18-2015,18,8,2015,95,71,
AGS,8-19-2015,19,8,2015,94,71,
AHN,8-10-2015,10,8,2015,89,67,
AHN,8-11-2015,11,8,2015,89,68,
AHN,8-12-2015,12,8,2015,89,67,
AHN,8-13-2015,13,8,2015,87,68,
AHN,8-14-2015,14,8,2015,87,66,
AHN,8-15-2015,15,8,2015,89,66,
AHN,8-16-2015,16,8,2015,91,67,
AHN,8-17-2015,17,8,2015,93,68,
AHN,8-18-2015,18,8,2015,93,68,
AHN,8-19-2015,19,8,2015,92,69,
AIA,8-10-2015,10,8,2015,83,59,
AIA,8-11-2015,11,8,2015,85,58,
AIA,8-12-2015,12,8,2015,90,61,
AIA,8-13-2015,13,8,2015,93,60,
AIA,8-14-2015,14,8,2015,94,61,
AIA,8-15-2015,15,8,2015,93,58,
AIA,8-16-2015,16,8,2015,82,55,
AIA,8-17-2015,17,8,2015,85,55,
AIA,8-18-2015,18,8,2015,88,57,
AIA,8-19-2015,19,8,2015,86,53,
AIG,8-10-2015,10,8,2015,76,53,
AIG,8-11-2015,11,8,2015,74,48,
AIG,8-12-2015,12,8,2015,79,60,
AIG,8-13-2015,13,8,2015,83,59,
AIG,8-14-2015,14,8,2015,82,57,
AIG,8-15-2015,15,8,2015,82,60,
AIG,8-16-2015,16,8,2015,82,56,
AIG,8-17-2015,17,8,2015,77,52,
AIG,8-18-2015,18,8,2015,74,54,
AIG,8-19-2015,19,8,2015,77,55,
AKN,8-10-2015,10,8,2015,60,44,
AKN,8-11-2015,11,8,2015,64,48,
AKN,8-12-2015,12,8,2015,67,49,
AKN,8-13-2015,13,8,2015,63,50,
AKN,8-14-2015,14,8,2015,60,47,
AKN,8-15-2015,15,8,2015,64,48,
AKN,8-16-2015,16,8,2015,66,52,
AKN,8-17-2015,17,8,2015,66,51,
AKN,8-18-2015,18,8,2015,64,49,
AKN,8-19-2015,19,8,2015,62,48,
AKO,8-10-2015,10,8,2015,80,61,
AKO,8-11-2015,11,8,2015,81,61,
AKO,8-12-2015,12,8,2015,89,63,
AKO,8-13-2015,13,8,2015,91,63,
AKO,8-14-2015,14,8,2015,90,64,
AKO,8-15-2015,15,8,2015,93,62,
AKO,8-16-2015,16,8,2015,82,59,
AKO,8-17-2015,17,8,2015,86,60,
AKO,8-18-2015,18,8,2015,89,58,
AKO,8-19-2015,19,8,2015,87,56,
ALB,8-10-2015,10,8,2015,83,67,
ALB,8-11-2015,11,8,2015,78,62,
ALB,8-12-2015,12,8,2015,80,56,
ALB,8-13-2015,13,8,2015,80,59,
ALB,8-14-2015,14,8,2015,87,63,
ALB,8-15-2015,15,8,2015,84,62,
ALB,8-16-2015,16,8,2015,87,62,
ALB,8-17-2015,17,8,2015,88,63,
ALB,8-18-2015,18,8,2015,87,60,
ALB,8-19-2015,19,8,2015,87,61,
ALI,8-10-2015,10,8,2015,97,73,
ALI,8-11-2015,11,8,2015,101,74,
ALI,8-12-2015,12,8,2015,102,76,
ALI,8-13-2015,13,8,2015,102,76,
ALI,8-14-2015,14,8,2015,101,73,
ALI,8-15-2015,15,8,2015,100,72,
ALI,8-16-2015,16,8,2015,99,73,
ALI,8-17-2015,17,8,2015,97,74,
ALI,8-18-2015,18,8,2015,98,75,
ALI,8-19-2015,19,8,2015,98,75,
ALM,8-10-2015,10,8,2015,93,68,
ALM,8-11-2015,11,8,2015,98,66,
ALM,8-12-2015,12,8,2015,97,67,
ALM,8-13-2015,13,8,2015,97,68,
ALM,8-14-2015,14,8,2015,99,70,
ALM,8-15-2015,15,8,2015,97,69,
ALM,8-16-2015,16,8,2015,94,67,
ALM,8-17-2015,17,8,2015,92,67,
ALM,8-18-2015,18,8,2015,93,66,
ALM,8-19-2015,19,8,2015,93,66,
ALO,8-10-2015,10,8,2015,81,58,
ALO,8-11-2015,11,8,2015,82,56,
ALO,8-12-2015,12,8,2015,84,61,
ALO,8-13-2015,13,8,2015,88,63,
ALO,8-14-2015,14,8,2015,89,64,
ALO,8-15-2015,15,8,2015,88,66,
ALO,8-16-2015,16,8,2015,87,63,
ALO,8-17-2015,17,8,2015,83,61,
ALO,8-18-2015,18,8,2015,83,62,
ALO,8-19-2015,19,8,2015,84,63,
ALS,8-10-2015,10,8,2015,81,50,
ALS,8-11-2015,11,8,2015,78,47,
ALS,8-12-2015,12,8,2015,83,47,
ALS,8-13-2015,13,8,2015,84,49,
ALS,8-14-2015,14,8,2015,85,50,
ALS,8-15-2015,15,8,2015,86,50,
ALS,8-16-2015,16,8,2015,82,47,
ALS,8-17-2015,17,8,2015,81,48,
ALS,8-18-2015,18,8,2015,83,47,
ALS,8-19-2015,19,8,2015,79,45,
